"Index","Headline","Timestamp","Refered.stock","ml_sentiment","clean_timestamp","ts","trade_date","price_type","Ticker","Open","Close","entry_price","exit_date","exit_price","exit_reason","dollars_invested","shares","final_value","trade_return_pct"
205,"TSLA puts yolo 45k","Wednesday, November 19, 2025 at 11:35:56 AM EST","TSLA","positive","2025-11-19 11:35:56",2025-11-19 11:35:56,2025-11-19,"Open","TSLA",406.179992675781,403.989990234375,406.179992675781,2025-11-28,430.170013427734,"EOM",100,0.246196272103982,105.906253676828,0.05906253676828
213,"PACS 2 moon","Thursday, November 20, 2025 at 9:49:19 AM EST","PACS","positive","2025-11-20 09:49:19",2025-11-20 09:49:19,2025-11-20,"Open","PACS",25.6900005340576,26.1399993896484,25.6900005340576,2025-11-26,32.1599998474121,"TP",100,3.89256511954636,125.184893650653,0.251848936506526
232,"One million dollars bet on $SPT, down 20%, will hold till 25$","Friday, November 21, 2025 at 5:29:59 AM EST","SPT","positive","2025-11-21 05:29:59",2025-11-21 05:29:59,2025-11-21,"Open","SPT",9.35000038146973,9.75,9.35000038146973,2025-11-28,9.97000026702881,"EOM",100,10.6951867294235,106.631014548276,0.0663101454827559
240,"59k YOLO NVIDIA","Friday, November 21, 2025 at 3:44:20 PM EST","NVDA","positive","2025-11-21 15:44:20",2025-11-21 15:44:20,2025-11-21,"Close","NVDA",181.240005493164,178.880004882812,178.880004882812,2025-11-28,177,"EOM",100,0.559033974006831,98.9490133992091,-0.0105098660079093
253,"Big G for the win !!!!","Monday, November 24, 2025 at 1:17:29 PM EST","GOOGL","positive","2025-11-24 13:17:29",2025-11-24 13:17:29,2025-11-24,"Close","GOOGL",311.130004882812,318.579986572266,318.579986572266,2025-11-28,320.179992675781,"EOM",100,0.313892912972788,100.502230576607,0.00502230576606766
254,"PSKY $70K YOLO","Monday, November 24, 2025 at 2:16:30 PM EST","PSKY","positive","2025-11-24 14:16:30",2025-11-24 14:16:30,2025-11-24,"Close","PSKY",15.8900003433228,15.0600004196167,15.0600004196167,2025-11-28,16.0200004577637,"EOM",100,6.64010605668663,106.374502067719,0.063745020677191
255,"GOOG Gains","Monday, November 24, 2025 at 2:27:09 PM EST","GOOG","positive","2025-11-24 14:27:09",2025-11-24 14:27:09,2025-11-24,"Close","GOOG",311.010009765625,318.470001220703,318.470001220703,2025-11-28,320.119995117188,"EOM",100,0.314001317601964,100.518100257531,0.00518100257531295
268,"$837k META yolo","Tuesday, November 25, 2025 at 5:12:22 PM EST","META","positive","2025-11-25 17:12:22",2025-11-25 17:12:22,2025-11-25,"Close","META",624,636.219970703125,636.219970703125,2025-11-28,647.950012207031,"EOM",100,0.157178341776169,101.84370847255,0.0184370847254962
273,"Locked in profits on GOOGL — gains are gains!","Wednesday, November 26, 2025 at 3:24:12 AM EST","GOOGL","positive","2025-11-26 03:24:12",2025-11-26 03:24:12,2025-11-26,"Open","GOOGL",320.679992675781,319.950012207031,320.679992675781,2025-11-28,320.179992675781,"EOM",100,0.31183735276277,99.8440813236186,-0.00155918676381395
279,"Since You Guys Hate BMNR so much I decided to buy it.","Wednesday, November 26, 2025 at 5:24:45 PM EST","BMNR","positive","2025-11-26 17:24:45",2025-11-26 17:24:45,2025-11-26,"Close","BMNR",30.3199996948242,31.7399997711182,31.7399997711182,2025-11-28,33.1199989318848,"EOM",100,3.15059863645604,104.347823474222,0.0434782347422173
